=== Windows Log - 2025-12-19 10:41:22 ===

=== All windows matching 'eIVF' ===
Title: 'test.py - eivf version5 note entry bot - Cursor' | Class: 'Chrome_WidgetWin_1' | PID: 26092
Title: 'eivf version5 note entry bot' | Class: 'CabinetWClass' | PID: 11684
Title: 'test.py - eivf version5 note entry bot - Visual Studio Code' | Class: 'Chrome_WidgetWin_1' | PID: 24972
Title: 'eIVF' | Class: 'ThunderRT6MDIForm' | PID: 20900
Title: 'eIVF' | Class: 'ThunderRT6Main' | PID: 20900
Title: 'GDI+ Window (eIVF_net.exe)' | Class: 'GDI+ Hook Window Class' | PID: 8704
Title: 'GDI+ Window (eivf_clicknbuild.exe)' | Class: 'GDI+ Hook Window Class' | PID: 4480
Title: 'eIVF .Net' | Class: 'WindowsForms10.Window.8.app.0.141b42a_r8_ad1' | PID: 8704

=== All windows ===
Title: 'CiceroUIWndFrame' | Class: 'CiceroUIWndFrame'
Title: 'C:\WINDOWS\system32\cmd.exe' | Class: 'ConsoleWindowClass'
Title: '91% complete' | Class: 'OperationStatusWindow'
Title: 'SystemResourceNotifyWindow' | Class: 'HwndWrapper[PAD.Console.Host;;71613ca7-116a-41d3-9411-487b2ff42c13]'
Title: 'Power Automate' | Class: 'HwndWrapper[PAD.Console.Host;;20a48e36-8c36-4cbb-bf9d-6baa63bff2ef]'
Title: 'M365 Copilot quick view' | Class: 'UCWindow'
Title: 'C:\WINDOWS\system32\cmd.exe' | Class: 'ConsoleWindowClass'
Title: 'C:\WINDOWS\system32\cmd.exe' | Class: 'ConsoleWindowClass'
Title: 'Microsoft 365 Copilot' | Class: 'Microsoft 365 Copilot Host'
Title: 'GDI+ Window (M365Copilot.exe)' | Class: 'GDI+ Hook Window Class'
Title: 'DDE Server Window' | Class: 'OleDdeWndClass'
Title: 'OfficePowerManagerWindow' | Class: 'OfficePowerManagerWindow'
Title: 'Microsoft OneDrive Sync Service' | Class: 'Nucleus Auth Window'
Title: 'DDE Server Window' | Class: 'OleDdeWndClass'
Title: 'OneDrive - ReUnite' | Class: 'SkyDrive Class Name {090B42FF-7B26-4416-99B6-CB17896CF07C}-Business1'
Title: 'GDI+ Window (Explorer.EXE)' | Class: 'GDI+ Hook Window Class'
Title: 'Tclauncherhelper' | Class: 'TApplication'
Title: '.NET-BroadcastEventWindow.25468f2.0' | Class: '.NET-BroadcastEventWindow.25468f2.0'
Title: 'Task Host Window' | Class: 'COMTASKSWINDOWCLASS'
Title: '.NET-BroadcastEventWindow.2f3e4cc.0' | Class: '.NET-BroadcastEventWindow.2f3e4cc.0'
Title: 'GDI+ Window (Copilot.exe)' | Class: 'GDI+ Hook Window Class'
Title: 'Window' | Class: 'Windows.UI.Core.CoreWindow'
Title: 'GDI+ Window (AnyDesk.exe)' | Class: 'GDI+ Hook Window Class'
Title: 'ad_msg_wnd' | Class: 'ad_msg_wnd_cls#0
'
Title: 'DnDControlTitle' | Class: 'DnDControlClass'
Title: 'vmtoolsdControlWndTitle' | Class: 'vmtoolsdControlWndClass'
Title: 'NotifyIconWindowTitle' | Class: 'NotifyIconWindowClass'
Title: 'SecurityHealthSystray' | Class: 'SecHealth Window Class'
Title: 'DDE Server Window' | Class: 'OleDdeWndClass'
Title: 'Microsoft Text Input Application' | Class: 'Windows.UI.Core.CoreWindow'
Title: 'HiddenFaxWindow' | Class: 'FaxMonWinClass{3FD224BA-8556-47fb-B260-3E451BAE2793}'
Title: 'BluetoothNotificationAreaIconWindowClass' | Class: 'BluetoothNotificationAreaIconWindowClass'
Title: 'MS_WebcheckMonitor' | Class: 'MS_WebcheckMonitor'
Title: 'Windows Push Notifications Platform' | Class: 'PushNotificationsPowerManagement'
Title: 'Task Host Window' | Class: 'COMTASKSWINDOWCLASS'
Title: 'DWM Notification Window' | Class: 'Dwm'
Title: 'SystemResourceNotifyWindow' | Class: 'HwndWrapper[PAD.Console.Host;;0e07b4dd-50fb-4eed-8a10-7b6e515eb18f]'
Title: '.NET-BroadcastEventWindow.21af1a5.0' | Class: '.NET-BroadcastEventWindow.21af1a5.0'
Title: 'SystemResourceNotifyWindow' | Class: 'HwndWrapper[AEAlert.exe;;1c54459c-a109-42e4-9593-1c09a7f8af43]'
Title: 'MediaContextNotificationWindow' | Class: 'HwndWrapper[AEAlert.exe;;c7aeacd6-3413-46e4-9a81-839c7b0e230a]'
Title: 'Program Manager' | Class: 'Progman'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'M' | Class: 'MSCTFIME UI'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'M' | Class: 'MSCTFIME UI'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'M' | Class: 'MSCTFIME UI'
Title: 'Default IME' | Class: 'IME'
Title: 'M' | Class: 'MSCTFIME UI'
Title: 'Default IME' | Class: 'IME'
Title: 'M' | Class: 'MSCTFIME UI'
Title: 'Default IME' | Class: 'IME'
Title: 'M' | Class: 'MSCTFIME UI'
Title: 'Default IME' | Class: 'IME'
Title: 'M' | Class: 'MSCTFIME UI'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'M' | Class: 'MSCTFIME UI'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'M' | Class: 'MSCTFIME UI'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'M' | Class: 'MSCTFIME UI'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'M' | Class: 'MSCTFIME UI'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'M' | Class: 'MSCTFIME UI'
Title: 'Default IME' | Class: 'IME'
Title: 'M' | Class: 'MSCTFIME UI'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'M' | Class: 'MSCTFIME UI'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'M' | Class: 'MSCTFIME UI'
Title: 'Default IME' | Class: 'IME'
Title: 'Default IME' | Class: 'IME'
Title: 'M' | Class: 'MSCTFIME UI'
Title: 'Default IME' | Class: 'IME'
